
Project Evaluation Performance Summary:
      125 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib070\ClassLib070.csproj   2 calls
      125 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib104\ClassLib104.csproj   2 calls
      133 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib015\ClassLib015.csproj   2 calls
      137 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib016\ClassLib016.csproj   2 calls
      146 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib019\ClassLib019.csproj   2 calls
      154 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib067\ClassLib067.csproj   2 calls
      171 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib001\ClassLib001.csproj   2 calls
      184 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib056\ClassLib056.csproj   2 calls
      352 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib055\ClassLib055.csproj   2 calls
      379 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib041\ClassLib041.csproj   2 calls
      384 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib100\ClassLib100.csproj   2 calls
      761 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\mvc\mvc.csproj   3 calls

Project Performance Summary:
      113 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib019\ClassLib019.csproj  50 calls
                  1 ms  _GenerateRestoreProjectPathWalk            3 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  3 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                       11 calls
                  0 ms  GetNativeManifest                         11 calls
                  0 ms  GetCopyToOutputDirectoryItems             11 calls
      121 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib014\ClassLib014.csproj  25 calls
                  2 ms  _GenerateRestoreProjectPathWalk            2 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                 10 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        5 calls
                  0 ms  GetNativeManifest                          5 calls
                  0 ms  GetCopyToOutputDirectoryItems              5 calls
      126 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib002\ClassLib002.csproj  29 calls
                  1 ms  _GenerateRestoreProjectPathWalk            2 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        6 calls
                  0 ms  GetNativeManifest                          6 calls
                  0 ms  GetCopyToOutputDirectoryItems              6 calls
      127 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib011\ClassLib011.csproj  24 calls
                  1 ms  _GenerateRestoreProjectPathWalk            1 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        5 calls
                  1 ms  GetNativeManifest                          5 calls
                  0 ms  GetCopyToOutputDirectoryItems              5 calls
      130 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib008\ClassLib008.csproj  42 calls
                  3 ms  _GenerateRestoreProjectPathWalk            3 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  9 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        9 calls
                  1 ms  GetNativeManifest                          9 calls
                  0 ms  GetCopyToOutputDirectoryItems              9 calls
      140 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib006\ClassLib006.csproj 240 calls
                  2 ms  _GenerateRestoreProjectPathWalk            5 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       58 calls
                  1 ms  GetNativeManifest                         58 calls
                  0 ms  GetCopyToOutputDirectoryItems             58 calls
      144 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib009\ClassLib009.csproj 113 calls
                  1 ms  _GenerateRestoreProjectPathWalk           14 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                       24 calls
                  1 ms  GetNativeManifest                         24 calls
                  0 ms  GetCopyToOutputDirectoryItems             24 calls
      146 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib013\ClassLib013.csproj 157 calls
                  2 ms  _GenerateRestoreProjectPathWalk            2 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                       38 calls
                  1 ms  GetNativeManifest                         38 calls
                  0 ms  GetCopyToOutputDirectoryItems             38 calls
      149 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib004\ClassLib004.csproj 162 calls
                  2 ms  _GenerateRestoreProjectPathWalk            3 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  7 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  3 ms  _GenerateProjectRestoreGraph               1 calls
                  4 ms  GetTargetFrameworks                       39 calls
                  1 ms  GetNativeManifest                         39 calls
                  0 ms  GetCopyToOutputDirectoryItems             39 calls
      158 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib015\ClassLib015.csproj 140 calls
                  2 ms  _GenerateRestoreProjectPathWalk           13 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       31 calls
                  1 ms  GetNativeManifest                         31 calls
                  0 ms  GetCopyToOutputDirectoryItems             31 calls
      165 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib018\ClassLib018.csproj 146 calls
                  1 ms  _GenerateRestoreProjectPathWalk            7 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       34 calls
                  1 ms  GetNativeManifest                         34 calls
                  0 ms  GetCopyToOutputDirectoryItems             34 calls
      171 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib020\ClassLib020.csproj  50 calls
                  1 ms  _GenerateRestoreProjectPathWalk            3 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  9 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                       11 calls
                  0 ms  GetNativeManifest                         11 calls
                  0 ms  GetCopyToOutputDirectoryItems             11 calls
      176 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib034\ClassLib034.csproj  16 calls
                  9 ms  _GenerateRestoreProjectPathWalk            1 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  3 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        3 calls
                  0 ms  GetNativeManifest                          3 calls
                  0 ms  GetCopyToOutputDirectoryItems              3 calls
      186 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib003\ClassLib003.csproj 192 calls
                  2 ms  _GenerateRestoreProjectPathWalk           25 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       41 calls
                  1 ms  GetNativeManifest                         41 calls
                  1 ms  GetCopyToOutputDirectoryItems             41 calls
      189 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib017\ClassLib017.csproj  48 calls
                  1 ms  _GenerateRestoreProjectPathWalk            5 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  9 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                       10 calls
                  0 ms  GetNativeManifest                         10 calls
                  0 ms  GetCopyToOutputDirectoryItems             10 calls
      210 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib016\ClassLib016.csproj  60 calls
                  2 ms  _GenerateRestoreProjectPathWalk            5 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  7 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  3 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                       13 calls
                  1 ms  GetNativeManifest                         13 calls
                  0 ms  GetCopyToOutputDirectoryItems             13 calls
      222 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib007\ClassLib007.csproj 327 calls
                  1 ms  _GenerateRestoreProjectPathWalk           12 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       78 calls
                  1 ms  GetNativeManifest                         78 calls
                  1 ms  GetCopyToOutputDirectoryItems             78 calls
      224 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib027\ClassLib027.csproj 254 calls
                  7 ms  _GenerateRestoreProjectPathWalk           43 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       52 calls
                  1 ms  GetNativeManifest                         52 calls
                  1 ms  GetCopyToOutputDirectoryItems             52 calls
      233 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib010\ClassLib010.csproj  21 calls
                  1 ms  _GenerateRestoreProjectPathWalk            2 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  3 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        4 calls
                  0 ms  GetNativeManifest                          4 calls
                  0 ms  GetCopyToOutputDirectoryItems              4 calls
      241 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib012\ClassLib012.csproj 352 calls
                  3 ms  _GenerateRestoreProjectPathWalk           13 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  3 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       84 calls
                  1 ms  GetNativeManifest                         84 calls
                  1 ms  GetCopyToOutputDirectoryItems             84 calls
      259 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib053\ClassLib053.csproj  16 calls
                 34 ms  _GenerateRestoreProjectPathWalk            1 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        3 calls
                  0 ms  GetNativeManifest                          3 calls
                  0 ms  GetCopyToOutputDirectoryItems              3 calls
      263 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib005\ClassLib005.csproj 291 calls
                  1 ms  _GenerateRestoreProjectPathWalk            4 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                 12 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  1 ms  GetTargetFrameworks                       71 calls
                  1 ms  GetNativeManifest                         71 calls
                  1 ms  GetCopyToOutputDirectoryItems             71 calls
      265 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib030\ClassLib030.csproj  16 calls
                  2 ms  _GenerateRestoreProjectPathWalk            1 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        3 calls
                  0 ms  GetNativeManifest                          3 calls
                  0 ms  GetCopyToOutputDirectoryItems              3 calls
      266 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib032\ClassLib032.csproj  25 calls
                  9 ms  _GenerateRestoreProjectPathWalk            2 calls
                  0 ms  _IsProjectRestoreSupported                 1 calls
                  8 ms  _GenerateRestoreGraphProjectEntry          1 calls
                  2 ms  _GenerateProjectRestoreGraph               1 calls
                  0 ms  GetTargetFrameworks                        5 calls
